Attack: Agilent Feature Extraction CVE-2015-2092	This signature detects attempts to exploit an ActiveX control in Agilent Feature Extraction which can result in remote code execution.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess webvrpcs Service DrawSrv TagGroup Buffer Overflow	This signature detects attempts to cause a stack buffer overflow in the webvrpcs Service on installations of Advantech WebAccess. Authentication is not required to exploit this vulnerability.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess Node certUpdate Directory Traversal RCE	This signature detects attempts to cause a remote code execution on installations of Advantech WebAccess.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess CVE-2017-16720 Activity	This signature detects the attempts to exploit multiple security vulnerabilities in Advantech WebAccess ICSA-18-004-02.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess webvrpcs Service BwWebSvc ProjectName sprintf Buffer Overflow	This signature detects attempts to cause a stack buffer overflow in the webvrpcs Service on installations of Advantech WebAccess. Authentication is not required to exploit this vulnerability.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adobe Photoshop Collada CVE-2012-2052	This signature detects attempts to exploit buffer overflow in Adobe Photoshop.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adrenalin Player asx File BO	This signature detects attempts to exploit a buffer overflow vulnerability in Adrenalin Music player which may result in arbitrary code execution.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adobe InDesign Server Arbitrary Script Execution	This signature detects an attempt to execute arbitrary script in InDesign Server.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess Webvrpcs RCE Exploit	This signature detects attempts to cause a remote command execution in the webvrpcs Service on installations of Advantech WebAccess.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess Node certUpdate Directory Traversal RCE 2	This signature detects attempts to cause a remote code execution on installations of Advantech WebAccess.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adrenalin Player wax File BO	This signature detects attempts to exploit a buffer overflow vulnerability in Adrenalin Music player which may result in arbitrary code execution.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adobe Illustrator CVE-2009-4195	Thus signature detects a remote buffer-overflow vulnerability in the Adobe Illustrator.	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
