Attack: Advantech WebAccess webvrpcs Service DrawSrv TagGroup Buffer Overflow	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Agilent Feature Extraction CVE-2015-2092	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: ALLMediaServer Buffer Overflow	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: ALLPlayer m3u File BO	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess Webvrpcs RCE Exploit	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess SCADA Webvrpcs ViewDll1 Buffer Overflow Exploit	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adrenalin Player wax File BO	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess Node certUpdate Directory Traversal RCE	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: AIS Logistics ESEL-Server CVE-2019-10123	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adobe Shockwave rcsL Memory Corruption CVE-2010-3653	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess webvrpcs Service BwWebSvc ProjectName sprintf Buffer Overflow	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Sharpshooter Website	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Adrenalin Player asx File BO	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess Node certUpdate Directory Traversal RCE 2	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: AjaXplorer Remote Command Injection	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack: Advantech WebAccess CVE-2017-16720 Activity	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
WuFTPd Site Exec BO	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Formjacking Website 39	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
WuFTPd Heap BO	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Attack Signatures	None	
Web Attack: Zoom Client Security ByPass CVE-2019-13450	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: ZyNOS Information Disclosure	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: ZXV10 Router Remote Code Execution	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Zyxel Router Command Injection	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Zenworks Cnfg Mgmt RCE	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: zBlog Authenticated PHP Code Execution	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Java JMX RCE CVE-2013-0422	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: X97M.Laroux Download 2	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Witty Worm Propagation	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: XMPlay Playlist ASX	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: YonYou Ufmail File Upload Vulnerability	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: XML External Entity Attack	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: X360 VideoPlayer ActiveX BO	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: X7 Chat PHP Remote Code Execution	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Wordpress WP-Mon Arbitrary Download	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress WooCommerce Plugin LFI	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Ultimate Member Plugin CVE-2018-0587	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress WP Database Backup Plugin OS Command Injection	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WPScan Tool Activity	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Travel Management Plugin CVE-2019-15773	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Xiongmai UC HTTPD BO CVE-2018-10088	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: Wordpress Ultimate Form Builder CVE-2017-15919	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Social Warfare Plugin XSS	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Symposium Plugin Shell Upload	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Social Warfare Plugin XSS 2	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress XMLRPC Malicious Pingback Request	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Remote Code Execution CVE-2019-8942	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress REST API Content Injection	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress XML-RPC Brute Force	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Plugin XSS Attempt	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Plugin Path Traversal Attempt	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress OpinionStage Plugin Cross Site Scripting	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
Web Attack: WordPress Ninja Forms SQL Injection	Severity: High	This attack could pose a serious security threat. You should take immediate action to stop any damage or prevent further damage from happening.
